side,sdg,item_id,source,centroid_similarity,preview
research,17,https://openalex.org/W7126072643,2025,0.724764,MICA: Deciphering Gene-Peak Interactions via Interpretable Bilinear Attention Learned from Cross-Modal Generation. Decoding gene regulatory networks is critical for understanding cell identity and disease. While singl...
research,17,https://openalex.org/W4393159659,2024,0.7111,"Prot2Text: Multimodal Protein's Function Generation with GNNs and Transformers. In recent years, significant progress has been made in the field of protein function prediction with the development of various machine-l..."
research,17,https://openalex.org/W4385373640,2023,0.7111,"Prot2Text: Multimodal Protein's Function Generation with GNNs and Transformers. In recent years, significant progress has been made in the field of protein function prediction with the development of various machine-l..."
policy,17,ungdc_001936,ungdc_CMR_73_2018,0.839828,"The growing complexity of the problems of our time, as well as the unprecedented interdependence of nations and peoples, require collective action and global solutions. The United Nations is today the best reflection..."
policy,17,ungdc_003432,ungdc_GIN_75_2020,0.827601,"In a world sadly faced with various challenges, the theme of this session: “The future we want, the UN we need: reaffirming our commitment to multilateralism”, calls on us to act now more than ever. The central role o..."
policy,17,UN_SDG_Progress_Report_2024_0002,UN_SDG_Progress_Report_2024,0.824648,"whole, face the worst medium-term economic outlook in a generation. With more than six years left, we must not let up on our 2030 promise to Against this backdrop, the steadfast unity of governments behind the 2030 en..."
research,13,https://openalex.org/W4383472615,2023,0.851286,"ClimateLearn: Benchmarking Machine Learning for Weather and Climate Modeling. Modeling weather and climate is an essential endeavor to understand the near- and long-term impacts of climate change, as well as inform te..."
research,13,https://openalex.org/W4367723937,2023,0.837473,"A climate index collection based on model data. Abstract Machine learning (ML) and in particular deep learning (DL) methods push state-of-the-art solutions for many hard problems, for example, image classification, sp..."
research,13,https://openalex.org/W4389470795,2023,0.817295,"Foundation Models for Weather and Climate Data Understanding: A Comprehensive Survey. As artificial intelligence (AI) continues to rapidly evolve, the realm of Earth and atmospheric sciences is increasingly adopting d..."
policy,13,sdgi_03766_2,sdgi_ESP_VLR_barcelona_2020,0.862751,"13.2. Integrate climate change measures into national policies, strategies and planning. 13.3. Improve education, awareness-raising and human and institutional capacity on climate change mitigation, adaptation, impact..."
policy,13,ungdc_002440,ungdc_VUT_73_2018,0.861446,"the level of greenhouse-gas emissions continues to rise relentlessly, we will witness an escalation of the costs associated with the effects of climate change, costs that vulnerable countries such as Vanuatu cannot af..."
policy,13,sdgi_03788_3,sdgi_MAR_VLR_agadir_2023,0.857934,It plans to address this through a proactive and adaptive approach resting on a strengthened institutional and legal environment and dedicated programmes across sectors. It cites that the level of CO2 emissions in the...
research,9,https://openalex.org/W4389891404,2023,0.763047,Tendencias del uso de la Inteligencia Artificial en Empresas Globales en el periodo 2018-2023. Una revisión sistemática de la literatura científica. In recent years there has been an accelerated interest in artificial...
research,9,https://openalex.org/W4400126561,2024,0.753898,The Integration of Machine Learning and Explainable AI and Business Digitization: Unleashing the Power of Data - A Review. The integration of machine learning (ML) and explainable artificial intelligence (XAI) within...
research,9,https://openalex.org/W3199276487,2020,0.753827,"Intersection of Artificial Intelligence, Machine Learning, and Internet of Things - An Economic Overview. Internet of Things (IoT) has become one of the mainstream advancements and a supreme domain of research for the..."
policy,9,OECD_2021_State_of_Implementation_of_the_OECD_AI_Principles_Insights_from_National_AI_Policies_0020,OECD_2021_State_of_Implementation_of_the_OECD_AI_Principles_Insights_from_National_AI_Policies,0.804917,STATE OF IMPLEMENTATION OF THE OECD AI PRINCIPLES: INSIGHTS FROM NATIONAL AI POLICIES  13 Figure 4. A selection of AI policies that follow OECD AI Principle 2.3 on shaping an enabling policy environment for AI Note:...
policy,9,India_National_AI_Strategy_NITI_2018_0019,India_National_AI_Strategy_NITI_2018,0.804198,Discussion Paper National Strategy for Artificial Intelligence Global Developments in Artificial Intelligence Benchmarking select countries Countries around the world are becoming increasingly aware of the potential e...
policy,9,EuropeanCommission_2020_Shaping_Europes_Digital_Future_0005,EuropeanCommission_2020_Shaping_Europes_Digital_Future,0.804025,"TECHNOLOGY THAT WORKS FOR PEOPLE Europe has a long and successful history of technol- Europe needs to invest in connectivity, deep tech ogy and creativity. Europe is strongest when it acts and human capital, as well a..."
