SDG,Description,Semantic gaps,,,Coverage predictors,,,
,,Raw,Adj.,Reg.,Cov.,SDom,Res %,Pol %
1,No Poverty,0.032,0.025,+0.007,5.1,-5.1,0.1,5.3
2,Zero Hunger,0.037,0.020,+0.017,2.6,-2.6,1.3,3.9
3,Good Health,0.056,0.044,+0.012,22.3,+22.3,27.0,4.8
4,Education,0.044,0.039,+0.004,12.8,+12.8,17.7,4.9
5,Gender Equality,0.041,0.063,-0.022,3.9,-3.9,1.5,5.4
6,Clean Water,0.045,0.028,+0.017,2.5,-2.5,1.1,3.6
7,Clean Energy,0.052,0.042,+0.010,0.6,-0.6,3.5,4.2
8,Decent Work,0.033,0.030,+0.004,3.7,-3.7,0.8,4.5
9,Innovation,0.045,0.035,+0.010,17.6,+17.6,21.4,3.8
10,Reduced Ineq.,0.047,0.043,+0.004,1.6,-1.6,0.8,2.4
11,Sust. Cities,0.052,0.054,-0.001,1.8,-1.8,4.1,5.9
12,Consumption,0.039,0.024,+0.014,2.5,-2.5,1.1,3.5
13,Climate,0.053,0.056,-0.003,5.9,-5.9,4.0,9.9
14,Life Below Water,0.044,0.039,+0.005,2.8,-2.8,0.9,3.7
15,Life on Land,0.044,0.032,+0.012,1.3,-1.3,2.8,4.1
16,Peace & Justice,0.040,0.078,-0.037,9.1,-9.1,11.6,20.7
17,Partnerships,0.023,0.041,-0.019,9.1,-9.1,0.2,9.3
Mean,---,0.043,0.041,+0.002,6.2,+0.0,5.9,5.9
