SDG,Encoder (embedding architecture),,,,,,
,MPNet (768-d),,,MiniLM (384-d),,SciBERT (768-d),
,LR,MLP,ZS,LR,MLP,LR,MLP
1,8,11,1,8,7,15,1
2,16,16,14,17,17,17,16
3,2,1,3,2,1,5,12
4,11,14,13,7,8,9,11
5,13,10,11,1,3,2,6
6,15,15,10,16,15,14,17
7,10,12,8,12,12,7,10
8,9,4,12,11,11,13,14
9,4,9,16,10,9,11,15
10,7,5,4,4,4,6,2
11,6,6,9,13,13,4,5
12,12,7,5,9,10,16,8
13,5,8,6,6,5,3,4
14,14,13,15,15,14,10,7
15,17,17,17,14,16,12,13
16,3,3,7,3,2,1,3
17,1,2,2,5,6,8,9
Rank Corr (ρ),1.00,0.85,0.60,0.63,0.71,0.54,0.36
